,name,code
274,계양전기,12200
275,고려산업,2140
276,고려시멘트,198440
277,고려신용정보,49720
278,고려아연,10130
279,고려제강,2240
280,고려제약,14570
281,고바이오랩,348150
282,고영,98460
283,골드앤에스,35290
284,골드퍼시픽,38530
285,골든센츄리,900280
286,골프존,215000
287,골프존뉴딘홀딩스,121440
288,골프존데카,183410
289,공구우먼,366030
290,관악산업,76340
291,광동제약,9290
292,광림,14200
293,광명전기,17040
294,광무,29480
295,광전자,17900
296,광주신세계,37710
297,광진실업,26910
298,교보10호스팩,355150
299,교보11호스팩,397880
300,교보12호스팩,421800
301,교보13호스팩,440790
302,교보증권,30610
303,교촌에프앤비,339770
304,구영테크,53270
305,국도화학,7690
306,국동,5320
307,국보,1140
308,국보디자인,66620
309,국순당,43650
310,국영지앤엠,6050
311,국일신동,60480
312,국일제지,78130
313,국전약품,307750
314,국제약품,2720
315,굿센,243870
316,그래디언트,35080
317,그리티,204020
318,그린케미칼,83420
319,그린플러스,186230
320,극동유화,14530
321,글로벌에스엠,900070
322,글로벌텍스프리,204620
323,글로본,19660
324,금강공업,14280
325,금강철강,53260
326,금비,8870
327,금양,1570
328,금호건설,2990
329,금호석유,11780
330,금호에이치티,214330
331,금호전기,1210
332,금호타이어,73240
333,금화피에스시,36190
334,기가레인,49080
335,기산텔레콤,35460
336,기신정기,92440
337,기아,270
338,기업은행,24110
339,까뮤이앤씨,13700
340,까스텔바작,308100
341,깨끗한나라,4540
342,나노,187790
343,나노브릭,286750
344,나노신소재,121600
345,나노씨엠에스,247660
346,나노엔텍,39860
347,나노캠텍,91970
348,나눔테크,244880
349,나라소프트,288490
350,나라엠앤디,51490
351,나래나노텍,137080
352,나무가,190510
353,나무기술,242040
354,나스미디어,89600
355,나우IB,293580
356,나우코스,257990
357,나이벡,138610
358,나이스디앤비,130580
359,나이스정보통신,36800
360,나인테크,267320
361,남광토건,1260
362,남선알미늄,8350
363,남성,4270
364,남양유업,3920
365,남해화학,25860
366,남화산업,111710
367,남화토건,91590
368,내츄럴엔도텍,168330
369,네오리진,94860
370,네오셈,253590
371,네오오토,212560
372,네오위즈,95660
373,네오위즈홀딩스,42420
374,네오이뮨텍,950220
375,네오크레마,311390
376,네오티스,85910
377,네오팜,92730
378,네오펙트,290660
379,네온테크,306620
380,네이블,153460
381,네이처셀,7390
382,네패스,33640
383,네패스아크,330860
384,넥센,5720
385,넥센타이어,2350
